Dates,Confirmed,Projection
04/03/2020,3,3
05/03/2020,10,7
06/03/2020,5,7
07/03/2020,1,6
08/03/2020,11,8
09/03/2020,21,17
10/03/2020,32,26
11/03/2020,38,36
12/03/2020,45,43
13/03/2020,56,42
14/03/2020,26,31
15/03/2020,26,30
16/03/2020,59,55.5
17/03/2020,84,88
18/03/2020,127,122
19/03/2020,149,141
20/03/2020,141,131
21/03/2020,113,93
22/03/2020,57,87
23/03/2020,141,158
24/03/2020,178,252.5
25/03/2020,211,335
26/03/2020,250,381.5
27/03/2020,168,373
28/03/2020,173,269.5
29/03/2020,83,278
30/03/2020,148,479.5
31/03/2020,199,713
01/04/2020,172,956.5
02/04/2020,209,1143.5
03/04/2020,204,1028.5
04/04/2020,103,750
05/04/2020,72,772.5
06/04/2020,128,1349.5
07/04/2020,181,2113
08/04/2020,160,2843
09/04/2020,163,3262
10/04/2020,73,
11/04/2020,65,
12/04/2020,51,
13/04/2020,50,
14/04/2020,71,
15/04/2020,109,
16/04/2020,91,
17/04/2020,111,
18/04/2020,77,
19/04/2020,33,
20/04/2020,45,
21/04/2020,71,
22/04/2020,79,
23/04/2020,81,
24/04/2020,69,
25/04/2020,49,
