Dates,Confirmed,Projection
04/03/2020,37,31
05/03/2020,33,33
06/03/2020,41,37
07/03/2020,31,38
08/03/2020,19,28
09/03/2020,50,55
10/03/2020,109,98.5
11/03/2020,134,135
12/03/2020,168,166
13/03/2020,257,215
14/03/2020,274,223
15/03/2020,169,165
16/03/2020,330,267
17/03/2020,462,421
18/03/2020,601,530
19/03/2020,530,572
20/03/2020,679,654.5
21/03/2020,467,669
22/03/2020,453,487
23/03/2020,547,786.5
24/03/2020,884,1239.5
25/03/2020,930,1656
26/03/2020,990,1819
27/03/2020,1027,2202.5
28/03/2020,879,2238.5
29/03/2020,560,1650
30/03/2020,772,2710.5
31/03/2020,980,4155
01/04/2020,983,5222.5
02/04/2020,1095,5970.5
03/04/2020,980,6581.5
04/04/2020,705,7350
05/04/2020,407,5245
06/04/2020,493,8420.5
07/04/2020,734,12943.5
08/04/2020,771,16407.5
09/04/2020,734,18852
10/04/2020,535,22217
11/04/2020,464,22663
12/04/2020,316,15929
13/04/2020,250,26346.5
14/04/2020,321,40253
15/04/2020,519,49065.5
16/04/2020,534,56983
17/04/2020,414,
18/04/2020,352,
19/04/2020,245,
20/04/2020,221,
21/04/2020,326,
22/04/2020,391,
23/04/2020,343,
24/04/2020,305,
25/04/2020,233,
