Dates,Confirmed,Projection
04/03/2020,10,8
05/03/2020,18,22
06/03/2020,43,29
07/03/2020,18,30
08/03/2020,20,27
09/03/2020,77,55
10/03/2020,91,77
11/03/2020,109,103
12/03/2020,116,123
13/03/2020,189,165.5
14/03/2020,181,174
15/03/2020,131,142
16/03/2020,215,239.5
17/03/2020,332,341
18/03/2020,513,458.5
19/03/2020,613,572.5
20/03/2020,595,736
21/03/2020,812,822.5
22/03/2020,429,678
23/03/2020,576,1086
24/03/2020,901,1504.5
25/03/2020,1216,1995.5
26/03/2020,1160,2463
27/03/2020,1182,3142.5
28/03/2020,1107,3359.5
29/03/2020,664,2902
30/03/2020,830,4641.5
31/03/2020,1306,6478
01/04/2020,1464,8837
02/04/2020,1498,10270.5
03/04/2020,1426,13698
04/04/2020,1175,15182
05/04/2020,606,12501.5
06/04/2020,916,21029
07/04/2020,1180,26583
08/04/2020,1193,36701
09/04/2020,993,44142
10/04/2020,732,58664
11/04/2020,644,63905
12/04/2020,358,55316.5
13/04/2020,383,90411
14/04/2020,612,124569
15/04/2020,784,153229
16/04/2020,702,177391
17/04/2020,632,
18/04/2020,449,
19/04/2020,316,
20/04/2020,320,
21/04/2020,417,
22/04/2020,489,
23/04/2020,451,
24/04/2020,391,
25/04/2020,247,
