Dates,Confirmed,Projection
04/03/2020,2,2
05/03/2020,6,3
06/03/2020,1,4
07/03/2020,4,5
08/03/2020,0,2
09/03/2020,19,11
10/03/2020,16,16
11/03/2020,35,28
12/03/2020,34,34
13/03/2020,70,50
14/03/2020,67,63
15/03/2020,19,26
16/03/2020,108,90
17/03/2020,142,134
18/03/2020,197,187.5
19/03/2020,174,219
20/03/2020,180,292.5
21/03/2020,126,402.5
22/03/2020,57,185.5
23/03/2020,235,561.5
24/03/2020,214,832.5
25/03/2020,230,1184.5
26/03/2020,272,1544.5
27/03/2020,260,1939
28/03/2020,170,2414
29/03/2020,129,1252
30/03/2020,172,3537.5
31/03/2020,233,5300.5
01/04/2020,294,7744
02/04/2020,231,10156.5
03/04/2020,221,12490
04/04/2020,185,17309
05/04/2020,84,7638.5
06/04/2020,132,22927.5
07/04/2020,227,34697.5
08/04/2020,267,52587.5
09/04/2020,255,61670
10/04/2020,141,78775
11/04/2020,129,108777
12/04/2020,73,48711.5
13/04/2020,68,131513
14/04/2020,144,204008.5
15/04/2020,189,311510
16/04/2020,190,
17/04/2020,170,
18/04/2020,117,
19/04/2020,56,
20/04/2020,63,
21/04/2020,150,
22/04/2020,155,
23/04/2020,103,
24/04/2020,94,
25/04/2020,86,
