Dates,Confirmed,Projection
04/03/2020,4,3
05/03/2020,6,5
06/03/2020,7,7
07/03/2020,8,9
08/03/2020,4,8
09/03/2020,12,14
10/03/2020,32,27
11/03/2020,55,42
12/03/2020,51,51
13/03/2020,85,66
14/03/2020,60,71
15/03/2020,57,59
16/03/2020,131,97
17/03/2020,140,144
18/03/2020,204,206.5
19/03/2020,205,240.5
20/03/2020,219,312
21/03/2020,156,349
22/03/2020,94,292
23/03/2020,206,447.5
24/03/2020,246,692
25/03/2020,282,976.5
26/03/2020,311,1209.5
27/03/2020,310,1530
28/03/2020,286,1696
29/03/2020,140,1395.5
30/03/2020,241,2233
31/03/2020,287,3152.5
01/04/2020,288,4312
02/04/2020,276,5423
03/04/2020,304,6499.5
04/04/2020,195,8006.5
05/04/2020,121,6553
06/04/2020,189,10132
07/04/2020,295,14630
08/04/2020,262,20012
09/04/2020,258,22127
10/04/2020,205,
11/04/2020,112,
12/04/2020,118,
13/04/2020,77,
14/04/2020,142,
15/04/2020,200,
16/04/2020,212,
17/04/2020,156,
18/04/2020,120,
19/04/2020,80,
20/04/2020,108,
21/04/2020,143,
22/04/2020,129,
23/04/2020,120,
24/04/2020,103,
25/04/2020,62,
