Dates,Confirmed,Projection
04/03/2020,68,62
05/03/2020,71,70
06/03/2020,57,60
07/03/2020,54,57
08/03/2020,25,38
09/03/2020,82,78
10/03/2020,154,126
11/03/2020,171,159.5
12/03/2020,234,210
13/03/2020,313,252
14/03/2020,224,259
15/03/2020,181,188
16/03/2020,421,358
17/03/2020,624,547
18/03/2020,551,636.5
19/03/2020,843,846
20/03/2020,662,1055
21/03/2020,525,1175
22/03/2020,371,845.5
23/03/2020,676,1518.5
24/03/2020,632,2425.5
25/03/2020,832,2957
26/03/2020,864,3833
27/03/2020,906,4614
28/03/2020,645,5298.5
29/03/2020,547,3797
30/03/2020,655,6647.5
31/03/2020,867,10472
01/04/2020,932,13157
02/04/2020,955,16899
03/04/2020,837,21376
04/04/2020,544,23287.5
05/04/2020,440,15746.5
06/04/2020,695,28667.5
07/04/2020,720,41044.5
08/04/2020,788,53054.5
09/04/2020,791,69998.5
10/04/2020,500,81211.5
11/04/2020,484,87988
12/04/2020,337,60822
13/04/2020,244,100053.5
14/04/2020,463,151516.5
15/04/2020,561,178503
16/04/2020,614,211382.5
17/04/2020,501,
18/04/2020,382,
19/04/2020,271,
20/04/2020,462,
21/04/2020,400,
22/04/2020,404,
23/04/2020,341,
24/04/2020,270,
25/04/2020,198,
