Dates,Confirmed
01-Apr,282
02-Apr,382
03-Apr,473
04-Apr,312
05-Apr,158
06-Apr,424
07-Apr,347
08-Apr,301
09-Apr,140
10-Apr,142
11-Apr,140
12-Apr,157
13-Apr,156
14-Apr,258
15-Apr,199
16-Apr,178
17-Apr,168
18-Apr,106
19-Apr,114
20-Apr,215
21-Apr,202
22-Apr,229
23-Apr,232
24-Apr,165
25-Apr,136
26-Apr,122
27-Apr,219
28-Apr,136
29-Apr,140
30-Apr,150
01-May,152
02-May,117
03-May,78
04-May,124
05-May,123
06-May,107
07-May,124
08-May,69
09-May,65
10-May,60
11-May,79
12-May,58
13-May,71
14-May,64
15-May,91
16-May,35
17-May,50
18-May,81
19-May,63
20-May,72
21-May,31
22-May,73
23-May,36
24-May,36
25-May,52
26-May,63
27-May,52
28-May,39
29-May,46
30-May,33
31-May,22
01-Jun,36
02-Jun,56
03-Jun,54
04-Jun,42
05-Jun,35
06-Jun,15
07-Jun,14
08-Jun,46
09-Jun,28
10-Jun,40
11-Jun,48
12-Jun,60
13-Jun,27
14-Jun,22
15-Jun,40
