Dates,Confirmed
01-Apr,198.00
02-Apr,198.00
03-Apr,164.00
04-Apr,88.00
05-Apr,72.00
06-Apr,158.00
07-Apr,140.00
08-Apr,106.00
09-Apr,103.00
10-Apr,68.00
11-Apr,109.00
12-Apr,76.00
13-Apr,77.00
14-Apr,122.00
15-Apr,104.00
16-Apr,80.00
17-Apr,108.00
18-Apr,49.00
19-Apr,36.00
20-Apr,84.00
21-Apr,78.00
22-Apr,77.00
23-Apr,70.00
24-Apr,54.00
25-Apr,25.00
26-Apr,37.00
27-Apr,71.00
28-Apr,50.00
29-Apr,39.00
30-Apr,39.00
01-May,43.00
02-May,23.00
03-May,44.00
04-May,45.00
05-May,43.00
06-May,39.00
07-May,29.00
08-May,42.00
09-May,11.00
10-May,12.00
11-May,23.00
12-May,19.00
13-May,19.00
14-May,23.00
15-May,21.00
16-May,13.00
17-May,3.00
18-May,17.00
19-May,20.00
20-May,19.00
21-May,14.00
22-May,26.00
23-May,6.00
24-May,6.00
25-May,18.00
26-May,12.00
27-May,18.00
28-May,16.00
29-May,16.00
30-May,0.00
31-May,6.00
01-Jun,8.00
02-Jun,31.00
03-Jun,12.00
04-Jun,17.00
